Locality,DateBins,Lat.,Long.,D_sum,N_sum,B_sum,R_sum,x_sum,F_sum,Q_sum,K_sum,E_sum,L_sum,n_sum,A_sum,G_sum,I_sum,J_sum,C_sum,O_sum,H_sum,P_sum,T_sum,y_haplos_sum
Artemisa province. Cueva del Perico I ,1001-1500,22.958,-83.275,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,3
Artemisa province. Cueva del Perico I ,1501-2000,22.958,-83.275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Artemisa province. Cueva del Perico I ,2501-3000,22.958,-83.275,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Artybash and Kebezen,0-1000,51.13333333,87.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arzan,2501-3000,52.096067,93.711133,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Ashkelon,3001-3500,31.666667,34.566667,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,4
Ashkelon,3501-4000,31.666667,34.566667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Asparn Schletz,7001-7500,48.579752000000006,16.46931,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Asturias. El Espinoso cave,3001-3500,43.38,-4.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Asturias. Soto de las Regueras. Cueva de la Paloma,4001-4500,43.41022,-5.98496,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Atajadizo,0-1000,18.394444,-68.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Atapuerca. El Portalón,4501-5000,42.35267,-3.5183200000000006,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,2
Attica. Kolikrepi-Spata,3001-3500,37.960919,23.939801,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aube (10). Moussey PLA 2018,5001-5500,48.236385,4.078263,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Augsburg,4001-4500,48.330000000000005,10.895000000000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Augsburg - Hugo-Eckener-Straße,4001-4500,48.32852,10.89819,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Avlasovo. Mound 3. burial 2,2001-2500,53.088589,58.660441,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
