+------+---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+---------------+-----------+-----------+----------+----------+----------+---------+----------+----------+---------+-----------+-----------+-----------+-----------+---------+-----------+----------+---------+-----------+-----------+----------+----------------+
|      | CombinedBins                                                                                                                                                                                                                                                                                                                                                                                                                          |       Lat. |         Long. |     I_sum |     F_sum |    E_sum |    A_sum |    Q_sum |   D_sum |    H_sum |    R_sum |   x_sum |     N_sum |     G_sum |     T_sum |     B_sum |   K_sum |     L_sum |    n_sum |   O_sum |     C_sum |     J_sum |    P_sum |   y_haplos_sum |
|   48 | Almaty. Talgar. Birlik ( 2501-3000 )                                                                                                                                                                                                                                                                                                                                                                                                  |  51.1387   |   75.7152     |   0       |   0       |   0      |   0      |   0      |       0 |   0      |   0      |       0 |   0       |   0       |   0       |   0       |       0 |   0       |   0      |       0 |   0       |   0       |   0      |              0 |
|   49 | Almonda. Galeria da Cisterna ( 4001-4500 )                                                                                                                                                                                                                                                                                                                                                                                            |  39.5      |   -8.61667    |   0       |   0       |   0      |   0      |   0      |       0 |   0      |   0      |       0 |   0       |   0       |   0       |   0       |       0 |   0       |   0      |       0 |   0       |   0       |   0      |              0 |
|   50 | Alpes-Maritimes. Les Bréguières ( 6501-7000 )                                                                                                                                                                                                                                                                                                                                                                                         |  43.7      |    6.99       | 100       |   0       |   0      |   0      |   0      |       0 |   0      |   0      |       0 |   0       |   0       |   0       |   0       |       0 |   0       |   0      |       0 |   0       |   0       |   0      |              2 |
|   51 | Alpes-Maritimes. Les Bréguières ( 7001-7500 )                                                                                                                                                                                                                                                                                                                                                                                         |  43.7      |    6.99       | 100       |   0       |   0      |   0      |   0      |       0 |   0      |   0      |       0 |   0       |   0       |   0       |   0       |       0 |   0       |   0      |       0 |   0       |   0       |   0      |              1 |
|   52 | Alpes-Maritimes. Pendimoun ( 7001-7500 )                                                                                                                                                                                                                                                                                                                                                                                              |  43.81     |    7.51       | 100       |   0       |   0      |   0      |   0      |       0 |   0      |   0      |       0 |   0       |   0       |   0       |   0       |       0 |   0       |   0      |       0 |   0       |   0       |   0      |              1 |
|   53 | Alsace. Lingolsheim ( 6501-7000 )                                                                                                                                                                                                                                                                                                                                                                                                     |  48.5545   |    7.68175    |   0       |   0       |   0      |   0      |   0      |       0 |   0      |   0      |       0 |   0       |   0       |   0       |   0       |       0 |   0       |   0      |       0 |   0       |   0       |   0      |              0 |
|   54 | Alsónyék-Elkerülő 2 ( 6501-7000 )                                                                                                                                                                                                                                                                                                                                                                                                     |  46.2045   |   18.7299     |   0       |   0       |   0      |   0      |   0      |       0 |   0      |   0      |       0 |   0       | 100       |   0       |   0       |       0 |   0       |   0      |       0 |   0       |   0       |   0      |              1 |
|   55 | Alsónyék. site 11 ( 6001-6500 )                                                                                                                                                                                                                                                                                                                                                                                                       |  46.2045   |   18.7299     |   0       |   0       |   0      |   0      |   0      |       0 |   0      |   0      |       0 |   0       |   0       |   0       |   0       |       0 |   0       |   0      |       0 |   0       |   0       |   0      |              0 |
|   56 | Alsónémedi ( 5001-5500 )                                                                                                                                                                                                                                                                                                                                                                                                              |  47.3188   |   19.1669     |   0       |   0       |   0      |   0      |   0      |       0 |   0      |   0      |       0 |   0       |   0       |   0       |   0       |       0 |   0       |   0      |       0 |   0       |   0       |   0      |              0 |
|   57 | Altai Autonomous Republic. Ust-Kanski. Altai Mountains. Kaminnaya Cave ( 5001-5500 )                                                                                                                                                                                                                                                                                                                                                  |  50.9126   |   84.8144     |   0       |   0       |   0      |   0      |   0      |       0 |   0      |   0      |       0 |   0       |   0       |   0       |   0       |       0 |   0       |   0      |       0 |   0       |   0       |   0      |              0 |
|   58 | Altai Mountains. Saldyar-1 cemetery ( 4501-5000 )                                                                                                                                                                                                                                                                                                                                                                                     |  50.5542   |   86.5901     |   0       |   0       |   0      |   0      |   0      |       0 |   0      |   0      |       0 |   0       |   0       |   0       |   0       |       0 |   0       |   0      |       0 |   0       |   0       |   0      |              0 |
|   59 | Altai Mountains. Yenisey River. left bank of Karasuk tributary. Karasuk III ( 4501-5000 )                                                                                                                                                                                                                                                                                                                                             |  48.8327   |   83.9097     |   0       |   0       |   0      |   0      |   0      |       0 |   0      |   0      |       0 |   0       |   0       |   0       |   0       |       0 |   0       |   0      |       0 |   0       |   0       |   0      |              0 |
|   60 | Althausen  ( 4001-4500 )                                                                                                                                                                                                                                                                                                                                                                                                              |  49.4683   |    9.74407    |   0       |   0       |   0      |   0      |   0      |       0 |   0      |   0      |       0 |   0       |   0       |   0       |   0       |       0 |   0       |   0      |       0 |   0       |   0       |   0      |              0 |
|   61 | Althausen ( 4001-4500 )                                                                                                                                                                                                                                                                                                                                                                                                               |  49.4683   |    9.74407    |   0       |   0       |   0      |   0      |   0      |       0 |   0      | 100      |       0 |   0       |   0       |   0       |   0       |       0 |   0       |   0      |       0 |   0       |   0       |   0      |              1 |
